Transaction,Items Bought
1,"Bread, Milk, Butter"
2,"Bread, Eggs, Cheese"
3,"Milk, Butter"
4,"Bread, Milk, Eggs"
5,"Bread, Cheese"
6,"Milk, Butter, Cheese"
7,"Bread, Milk, Butter, Cheese"
8,"Eggs, Cheese"
9,"Bread, Eggs, Butter"
10,"Milk, Butter, Eggs"
11,"Bread, Milk"
12,"Milk, Cheese"
13,"Bread, Butter"
14,"Bread, Milk, Eggs, Cheese"
15,"Milk, Eggs"
16,"Bread, Milk, Butter"
17,"Bread, Eggs, Butter, Cheese"
18,"Butter, Cheese"
19,"Bread, Milk, Cheese"
20,"Eggs, Butter"
21,"Bread, Butter, Cheese"
22,"Bread, Milk, Butter, Eggs"
23,"Milk, Eggs, Cheese"
24,"Bread, Milk, Butter"
25,"Bread, Cheese"
26,"Milk, Butter, Eggs"
27,"Bread, Milk, Eggs"
28,"Eggs, Cheese"
29,"Bread, Eggs, Butter"
30,"Bread, Milk, Cheese"
