"Transaction","Items Bought"
"1","Bread, Milk, Butter"
"2","Eggs, Apples"
"3","Bread, Milk, Cheese"
"4","Bread, Apples, Milk"
"5","Milk, Butter, Cheese"
"6","Bread, Eggs, Butter"
"7","Apples, Cheese"
"8","Bread, Milk, Butter, Cheese"
"9","Bread, Eggs, Cheese"
"10","Bread, Milk, Apples"
"11","Milk, Eggs, Butter"
"12","Bread, Butter, Cheese"
"13","Apples, Cheese, Milk"
"14","Bread, Milk"
"15","Milk, Butter"
"16","Bread, Apples, Butter"
"17","Eggs, Cheese"
"18","Bread, Milk, Butter, Cheese"
"19","Bread, Milk, Apples"
"20","Milk, Butter, Eggs"
"21","Bread, Cheese"
"22","Bread, Milk, Butter, Eggs"
"23","Milk, Cheese"
"24","Apples, Butter"
"25","Bread, Milk, Cheese"
"26","Bread, Eggs, Apples"
"27","Milk, Butter, Cheese"
"28","Bread, Apples"
"29","Eggs, Butter, Cheese"
"30","Bread, Milk, Butter"
"31","Milk, Apples"
"32","Bread, Eggs, Cheese"
"33","Bread, Milk, Butter, Cheese"
"34","Apples, Butter"
"35","Bread, Milk, Apples"
"36","Bread, Eggs, Butter"
"37","Eggs, Cheese"
"38","Bread, Milk, Butter"
"39","Bread, Eggs"
"40","Milk, Butter, Cheese"
"41","Bread, Apples, Cheese"
"42","Bread, Milk"
"43","Eggs, Butter"
"44","Bread, Milk, Butter, Eggs"
"45","Apples, Cheese"
"46","Bread, Milk, Cheese"
"47","Milk, Butter"
"48","Bread, Apples"
"49","Bread, Eggs, Butter"
"50","Bread, Milk, Butter, Cheese"
