label,text
Spam,"Congratulations, you have won a free gift card! Click here to claim now."
Spam,Urgent: Update your account information or it will be suspended.
Spam,You have been selected for a cash prize! Reply YES to claim.
Spam,Act now! Limited time offer on new smartphones. Order today.
Spam,Get cheap loans at 0% interest! This deal ends soon.
Spam,Your account has suspicious activity. Verify your details to secure it.
Spam,Don't miss out! Save 60% on your next purchase. Click for details.
Spam,Please see attached invoice. Open the document for payment instructions.
Spam,Free vacation waiting for you! Confirm your details to win.
Spam,Winner! You have been chosen for a $500 Amazon voucher.
Spam,Claim your free cruise tickets. Only a few left!
Spam,You are approved for a new credit card with no annual fee.
Spam,Last chance to claim your lottery prize. Respond today.
Spam,Your delivery is on hold. Provide your address to receive.
Spam,Hot singles in your area want to meet you. Click and chat.
Spam,Increase your credit score instantly! Apply here.
Spam,You have a pending refund. Submit your banking info to collect.
Spam,Alert: Your email will be deactivated. Confirm your identity here.
Spam,Earn $1000 a day from home! No experience needed.
Spam,"Exclusive deal for you. Buy one, get one free on all items."
Spam,"Hurry, your account will be closed unless you verify now."
Spam,Investment opportunity: Double your money in a week. Learn more.
Spam,Special offer: Cheap medications delivered to your door.
Spam,Get a new car with no down payment. Apply today!
Spam,FREE entry into our sweepstake. Click to enter.
Spam,You are pre-approved for a large personal loan. Reply to accept.
Spam,Unlock your bonus reward points. Redeem here.
Spam,Security alert: unusual login detected. Verify immediately.
Spam,You won a shopping spree! Reply with your code to collect.
Spam,"Get instant cash! Short form, fast approval."
NoSpam,"Hi, are we still meeting for coffee at 10 am?"
NoSpam,Please send me the updated sales report by Friday.
NoSpam,Happy birthday! Hope you have a wonderful day.
NoSpam,Let me know if you need help with the project.
NoSpam,Are you available for a call tomorrow afternoon?
NoSpam,"Thanks for your order, it will arrive next week."
NoSpam,Your online banking statement is available to view.
NoSpam,Can you review the attached presentation slides?
NoSpam,Reminder: Your appointment is scheduled for Monday.
NoSpam,Let’s catch up soon! It’s been a while.
NoSpam,Welcome to our service! Here are some tips to get started.
NoSpam,The meeting has been moved to Conference Room B.
NoSpam,Thank you for your recent payment.
NoSpam,Great job on the report—management was impressed.
NoSpam,Please confirm your attendance for the workshop.
NoSpam,Your package has been delivered. Let us know if you have questions.
NoSpam,Let’s have lunch next week to discuss your ideas.
NoSpam,We have received your request and will respond shortly.
NoSpam,Can you share the files before the end of the day?
NoSpam,Thanks for your feedback on the product.
NoSpam,Don't forget to bring your laptop to the seminar.
NoSpam,Your subscription will renew automatically next month.
NoSpam,Congratulations on your promotion!
NoSpam,Our office will be closed on public holidays.
NoSpam,Can you update the document and resend it?
NoSpam,Hope you're having a nice weekend.
NoSpam,We look forward to seeing you at the event.
NoSpam,We've processed your refund as requested.
NoSpam,Feel free to reach out if you need assistance.
NoSpam,Let us know if you experience any issues with the software.
Spam,You are the lucky winner for today's Mega Draw! Claim now!
Spam,"Hot offer: Buy two, get three free exclusively for you."
Spam,Final reminder: Your payment details need verification. Click now.
Spam,Special reward: Complete this survey and earn a $100 gift card.
Spam,Act fast: Free streaming subscription for first 50 sign-ups.
Spam,Your account will be locked if you do not respond immediately.
Spam,Congratulations—your email is selected for a free gift voucher.
Spam,Work from home opportunity! Earn up to $5000 a week.
Spam,Instant approval for personal loans. No credit check required.
Spam,Upgrade your device at no cost. Visit our website today.
Spam,Flash sale! Grab your discount code before it expires.
Spam,Bitcoin investment made easy. Join thousands earning daily.
Spam,Attention! Your profile is incomplete. Update it to win rewards.
Spam,Exclusive: Download this attachment for your travel itinerary.
Spam,Unlock free access to premium features. Register here.
Spam,Win movie tickets for you and your family. Limited period offer.
Spam,This is your final chance to win a cruise holiday.
Spam,Claim your bonus credits now. They expire soon.
Spam,You have received a secure message. Click to view.
Spam,Security update required: Please reset your password here.
NoSpam,Looking forward to your thoughts on the latest proposal.
NoSpam,Can you book the conference room for tomorrow at 10am?
NoSpam,Let me know if you have any questions after the meeting.
NoSpam,Just checking in to see how your project is progressing.
NoSpam,Please find attached the minutes from yesterday's meeting.
NoSpam,Good luck with your presentation this afternoon!
NoSpam,I'll be on leave next Friday—contact Sam for urgent issues.
NoSpam,The attached invoice is for your records.
NoSpam,Don't hesitate to call if you need clarification.
NoSpam,Thanks for the update—I'll review and get back to you soon.
NoSpam,We appreciate your prompt response to our inquiry.
NoSpam,Welcome aboard! We're excited to have you join the team.
NoSpam,Let me know if you’d like help organizing your files.
NoSpam,Lunch is scheduled for noon on Thursday.
NoSpam,Great to hear about your recent success!
NoSpam,Please remember to submit your timesheet by Friday.
NoSpam,Here's the itinerary for our upcoming business trip.
NoSpam,Hope you have a relaxing and enjoyable weekend.
NoSpam,Just wanted to say thank you for your continued support.
NoSpam,See you at the training session next week.
